product_id,product_name,category,subcategory,brand,supplier,unit_price,cost,weight_kg
66,Clothing Product 66,Clothing,Clothing - Premium,Brand D,Supplier Z,227.38,136.43,3.09
67,Clothing Product 67,Clothing,Clothing - Standard,Brand B,Supplier X,20.68,12.41,2.45
68,Home & Garden Product 68,Home & Garden,Home & Garden - Standard,Brand A,Supplier X,163.47,98.08,4.5
69,Home & Garden Product 69,Home & Garden,Home & Garden - Budget,Brand B,Supplier Z,711.03,426.62,2.37
70,Books Product 70,Books,Books - Premium,Brand C,Supplier Y,26.36,15.82,3.14
71,Toys Product 71,Toys,Toys - Budget,Brand D,Supplier X,105.83,63.5,4.46
72,Home & Garden Product 72,Home & Garden,Home & Garden - Premium,Brand B,Supplier X,77.85,46.71,3.5
73,Electronics Product 73,Electronics,Electronics - Premium,Brand D,Supplier Z,1921.97,1153.18,2.81
74,Books Product 74,Books,Books - Budget,Brand D,Supplier Y,33.28,19.97,2.57
75,Toys Product 75,Toys,Toys - Standard,Brand D,Supplier Y,40.41,24.25,0.16
76,Food Product 76,Food,Food - Premium,Brand D,Supplier Y,123.68,74.21,2.26
77,Books Product 77,Books,Books - Standard,Brand B,Supplier Y,92.51,55.51,2.36
78,Beauty Product 78,Beauty,Beauty - Budget,Brand C,Supplier Y,142.03,85.22,2.52
79,Books Product 79,Books,Books - Premium,Brand C,Supplier Y,11.27,6.76,1.66
80,Beauty Product 80,Beauty,Beauty - Premium,Brand D,Supplier X,119.96,71.98,0.8
81,Beauty Product 81,Beauty,Beauty - Premium,Brand C,Supplier X,238.84,143.3,2.05
82,Electronics Product 82,Electronics,Electronics - Premium,Brand B,Supplier Y,1601.35,960.81,3.47
83,Clothing Product 83,Clothing,Clothing - Standard,Brand C,Supplier X,218.08,130.85,2.24
84,Electronics Product 84,Electronics,Electronics - Standard,Brand A,Supplier Z,716.12,429.67,2.63
85,Food Product 85,Food,Food - Standard,Brand D,Supplier Z,9.82,5.89,2.63
86,Sports Product 86,Sports,Sports - Budget,Brand D,Supplier Y,60.28,36.17,1.6
87,Beauty Product 87,Beauty,Beauty - Budget,Brand C,Supplier Z,242.66,145.6,0.41
88,Beauty Product 88,Beauty,Beauty - Premium,Brand A,Supplier X,149.83,89.9,3.83
89,Books Product 89,Books,Books - Budget,Brand C,Supplier X,22.02,13.21,4.92
90,Books Product 90,Books,Books - Standard,Brand A,Supplier X,17.49,10.49,2.93
91,Clothing Product 91,Clothing,Clothing - Budget,Brand C,Supplier Z,293.59,176.15,0.2
92,Beauty Product 92,Beauty,Beauty - Budget,Brand A,Supplier Y,10.66,6.4,0.11
93,Food Product 93,Food,Food - Premium,Brand C,Supplier X,75.46,45.28,0.29
94,Beauty Product 94,Beauty,Beauty - Budget,Brand A,Supplier Y,165.73,99.44,4.15
95,Electronics Product 95,Electronics,Electronics - Premium,Brand D,Supplier Z,605.71,363.43,2.94
96,Beauty Product 96,Beauty,Beauty - Standard,Brand B,Supplier Z,153.3,91.98,4.57
97,Food Product 97,Food,Food - Premium,Brand C,Supplier X,17.07,10.24,0.55
98,Electronics Product 98,Electronics,Electronics - Standard,Brand A,Supplier X,149.92,89.95,2.53
99,Toys Product 99,Toys,Toys - Premium,Brand A,Supplier Y,20.19,12.11,0.34
100,Toys Product 100,Toys,Toys - Budget,Brand D,Supplier X,138.05,82.83,3.46
101,Sports Product 101,Sports,Sports - Budget,Brand B,Supplier X,359.08,215.45,0.5
102,Home & Garden Product 102,Home & Garden,Home & Garden - Standard,Brand C,Supplier Z,507.48,304.49,3.97
103,Beauty Product 103,Beauty,Beauty - Standard,Brand C,Supplier Z,74.57,44.74,1.23
104,Food Product 104,Food,Food - Budget,Brand D,Supplier Z,51.59,30.95,1.62
105,Home & Garden Product 105,Home & Garden,Home & Garden - Standard,Brand C,Supplier Z,296.84,178.1,3.28
106,Electronics Product 106,Electronics,Electronics - Standard,Brand C,Supplier X,598.5,359.1,1.81
107,Sports Product 107,Sports,Sports - Premium,Brand C,Supplier X,234.38,140.63,4.51
108,Sports Product 108,Sports,Sports - Budget,Brand B,Supplier Y,138.22,82.93,3.97
109,Food Product 109,Food,Food - Budget,Brand D,Supplier Y,112.53,67.52,2.71
110,Food Product 110,Food,Food - Premium,Brand C,Supplier Y,116.23,69.74,2.53
111,Clothing Product 111,Clothing,Clothing - Standard,Brand C,Supplier Z,246.33,147.8,3.32
112,Toys Product 112,Toys,Toys - Budget,Brand D,Supplier Z,111.38,66.83,2.59
113,Books Product 113,Books,Books - Budget,Brand A,Supplier Z,34.56,20.74,0.39
114,Toys Product 114,Toys,Toys - Premium,Brand C,Supplier Z,108.11,64.87,0.32
115,Toys Product 115,Toys,Toys - Standard,Brand C,Supplier X,97.18,58.31,2.87
116,Food Product 116,Food,Food - Standard,Brand C,Supplier X,35.32,21.19,1.65
117,Beauty Product 117,Beauty,Beauty - Premium,Brand A,Supplier X,186.79,112.07,0.54
118,Electronics Product 118,Electronics,Electronics - Budget,Brand C,Supplier Z,1826.54,1095.92,4.32
119,Books Product 119,Books,Books - Standard,Brand C,Supplier Z,46.93,28.16,1.19
120,Home & Garden Product 120,Home & Garden,Home & Garden - Standard,Brand D,Supplier X,88.81,53.29,2.55
121,Sports Product 121,Sports,Sports - Budget,Brand D,Supplier Z,49.85,29.91,3.5
122,Books Product 122,Books,Books - Budget,Brand A,Supplier X,72.39,43.43,4.44
123,Home & Garden Product 123,Home & Garden,Home & Garden - Standard,Brand C,Supplier X,535.61,321.37,1.8
124,Beauty Product 124,Beauty,Beauty - Premium,Brand A,Supplier Y,169.05,101.43,4.27
125,Books Product 125,Books,Books - Premium,Brand D,Supplier Z,59.2,35.52,4.34
126,Home & Garden Product 126,Home & Garden,Home & Garden - Standard,Brand D,Supplier Z,775.66,465.4,1.35
127,Books Product 127,Books,Books - Standard,Brand A,Supplier Y,50.22,30.13,0.96
128,Sports Product 128,Sports,Sports - Premium,Brand D,Supplier Z,469.35,281.61,2.78
129,Books Product 129,Books,Books - Premium,Brand A,Supplier Y,71.4,42.84,2.21
130,Beauty Product 130,Beauty,Beauty - Standard,Brand A,Supplier Y,53.96,32.38,1.79
131,Home & Garden Product 131,Home & Garden,Home & Garden - Premium,Brand D,Supplier Y,508.55,305.13,4.33
132,Food Product 132,Food,Food - Budget,Brand D,Supplier Z,94.85,56.91,4.97
133,Beauty Product 133,Beauty,Beauty - Standard,Brand C,Supplier Y,235.77,141.46,1.71
134,Books Product 134,Books,Books - Standard,Brand A,Supplier X,89.51,53.71,1.46
135,Clothing Product 135,Clothing,Clothing - Premium,Brand B,Supplier Y,277.06,166.24,4.97
136,Electronics Product 136,Electronics,Electronics - Budget,Brand D,Supplier X,1397.95,838.77,3.51
137,Toys Product 137,Toys,Toys - Premium,Brand B,Supplier Y,137.75,82.65,1.95
138,Sports Product 138,Sports,Sports - Premium,Brand A,Supplier X,270.07,162.04,4.22
139,Books Product 139,Books,Books - Standard,Brand B,Supplier Y,80.89,48.53,3.62
140,Toys Product 140,Toys,Toys - Premium,Brand C,Supplier Y,90.32,54.19,2.82
141,Food Product 141,Food,Food - Premium,Brand B,Supplier X,24.73,14.84,4.83
142,Beauty Product 142,Beauty,Beauty - Standard,Brand C,Supplier Z,16.77,10.06,1.34
143,Electronics Product 143,Electronics,Electronics - Premium,Brand A,Supplier Y,1739.46,1043.68,0.27
144,Home & Garden Product 144,Home & Garden,Home & Garden - Standard,Brand B,Supplier X,376.12,225.67,0.36
145,Beauty Product 145,Beauty,Beauty - Premium,Brand D,Supplier X,240.45,144.27,2.73
146,Home & Garden Product 146,Home & Garden,Home & Garden - Standard,Brand C,Supplier Y,248.89,149.33,1.02
147,Clothing Product 147,Clothing,Clothing - Premium,Brand B,Supplier Z,243.94,146.36,0.47
148,Electronics Product 148,Electronics,Electronics - Premium,Brand D,Supplier Z,1008.51,605.11,3.82
149,Electronics Product 149,Electronics,Electronics - Standard,Brand A,Supplier Y,1817.03,1090.22,3.52
150,Books Product 150,Books,Books - Budget,Brand C,Supplier Z,41.2,24.72,2.07
151,Sports Product 151,Sports,Sports - Standard,Brand C,Supplier X,192.98,115.79,2.66
152,Electronics Product 152,Electronics,Electronics - Budget,Brand B,Supplier Y,372.23,223.34,0.78
153,Home & Garden Product 153,Home & Garden,Home & Garden - Budget,Brand D,Supplier Y,734.45,440.67,2.96
154,Toys Product 154,Toys,Toys - Budget,Brand C,Supplier Y,169.32,101.59,2.99
155,Books Product 155,Books,Books - Budget,Brand B,Supplier Z,25.8,15.48,4.22
156,Books Product 156,Books,Books - Premium,Brand C,Supplier X,50.41,30.25,0.32
157,Clothing Product 157,Clothing,Clothing - Budget,Brand B,Supplier Z,207.56,124.54,2.75
158,Beauty Product 158,Beauty,Beauty - Budget,Brand B,Supplier X,31.88,19.13,3.75
159,Electronics Product 159,Electronics,Electronics - Standard,Brand D,Supplier Z,455.57,273.34,2.24
160,Books Product 160,Books,Books - Standard,Brand D,Supplier Z,21.41,12.85,2.01
161,Food Product 161,Food,Food - Budget,Brand C,Supplier X,141.99,85.19,2.41
162,Beauty Product 162,Beauty,Beauty - Premium,Brand B,Supplier X,187.31,112.39,0.13
163,Beauty Product 163,Beauty,Beauty - Premium,Brand C,Supplier Y,117.72,70.63,4.85
164,Electronics Product 164,Electronics,Electronics - Budget,Brand B,Supplier X,843.06,505.84,1.4
165,Toys Product 165,Toys,Toys - Budget,Brand C,Supplier Y,165.45,99.27,1.29
166,Food Product 166,Food,Food - Budget,Brand B,Supplier Y,30.16,18.1,2.55
167,Electronics Product 167,Electronics,Electronics - Standard,Brand B,Supplier Y,159.07,95.44,2.7
168,Beauty Product 168,Beauty,Beauty - Premium,Brand D,Supplier X,62.4,37.44,3.75
169,Home & Garden Product 169,Home & Garden,Home & Garden - Standard,Brand D,Supplier X,161.07,96.64,1.63
170,Home & Garden Product 170,Home & Garden,Home & Garden - Premium,Brand B,Supplier Y,637.27,382.36,1.78
171,Books Product 171,Books,Books - Budget,Brand B,Supplier Z,91.74,55.04,4.0
172,Beauty Product 172,Beauty,Beauty - Standard,Brand A,Supplier X,165.82,99.49,2.14
173,Clothing Product 173,Clothing,Clothing - Budget,Brand D,Supplier Z,120.71,72.43,3.94
174,Books Product 174,Books,Books - Budget,Brand D,Supplier X,45.98,27.59,2.69
175,Toys Product 175,Toys,Toys - Premium,Brand C,Supplier Y,85.32,51.19,2.62
176,Books Product 176,Books,Books - Standard,Brand D,Supplier Z,77.15,46.29,1.22
177,Home & Garden Product 177,Home & Garden,Home & Garden - Budget,Brand A,Supplier Z,577.99,346.79,0.9
178,Toys Product 178,Toys,Toys - Standard,Brand D,Supplier X,80.17,48.1,0.15
179,Food Product 179,Food,Food - Premium,Brand C,Supplier Y,134.22,80.53,2.96
180,Books Product 180,Books,Books - Standard,Brand C,Supplier X,96.3,57.78,2.49
181,Electronics Product 181,Electronics,Electronics - Budget,Brand C,Supplier X,1290.55,774.33,0.39
182,Home & Garden Product 182,Home & Garden,Home & Garden - Premium,Brand B,Supplier X,756.92,454.15,2.92
183,Electronics Product 183,Electronics,Electronics - Premium,Brand D,Supplier X,1402.93,841.76,4.35
184,Food Product 184,Food,Food - Premium,Brand B,Supplier Y,25.85,15.51,2.18
185,Electronics Product 185,Electronics,Electronics - Budget,Brand A,Supplier X,674.91,404.95,2.75
186,Electronics Product 186,Electronics,Electronics - Standard,Brand B,Supplier X,1895.96,1137.58,2.34
187,Sports Product 187,Sports,Sports - Standard,Brand A,Supplier X,179.89,107.93,3.22
188,Beauty Product 188,Beauty,Beauty - Budget,Brand D,Supplier X,127.84,76.7,4.99
189,Food Product 189,Food,Food - Standard,Brand C,Supplier Y,58.04,34.82,3.51
190,Books Product 190,Books,Books - Standard,Brand C,Supplier Z,41.81,25.09,1.78
191,Toys Product 191,Toys,Toys - Premium,Brand C,Supplier Y,195.61,117.37,4.49
192,Sports Product 192,Sports,Sports - Standard,Brand B,Supplier Z,351.96,211.18,3.58
193,Clothing Product 193,Clothing,Clothing - Standard,Brand C,Supplier Y,144.07,86.44,4.5
194,Sports Product 194,Sports,Sports - Premium,Brand C,Supplier X,321.53,192.92,3.72
195,Toys Product 195,Toys,Toys - Premium,Brand D,Supplier Z,41.53,24.92,3.89
196,Home & Garden Product 196,Home & Garden,Home & Garden - Premium,Brand D,Supplier Z,626.63,375.98,1.64
197,Clothing Product 197,Clothing,Clothing - Budget,Brand B,Supplier X,190.87,114.52,1.57
198,Toys Product 198,Toys,Toys - Budget,Brand C,Supplier Y,105.91,63.55,0.83
199,Sports Product 199,Sports,Sports - Budget,Brand B,Supplier Y,44.17,26.5,3.19
200,Books Product 200,Books,Books - Premium,Brand B,Supplier Y,51.69,31.01,4.76
201,Sports Product 201,Sports,Sports - Standard,Brand B,Supplier X,415.7,249.42,3.65
202,Clothing Product 202,Clothing,Clothing - Budget,Brand C,Supplier Y,240.02,144.01,0.15
203,Home & Garden Product 203,Home & Garden,Home & Garden - Standard,Brand B,Supplier Y,478.72,287.23,3.26
204,Electronics Product 204,Electronics,Electronics - Premium,Brand B,Supplier Z,1172.96,703.78,0.53
205,Electronics Product 205,Electronics,Electronics - Budget,Brand B,Supplier Y,755.31,453.19,2.44
206,Toys Product 206,Toys,Toys - Premium,Brand A,Supplier Y,122.85,73.71,4.63
207,Beauty Product 207,Beauty,Beauty - Standard,Brand A,Supplier X,155.87,93.52,4.02
208,Sports Product 208,Sports,Sports - Standard,Brand C,Supplier Y,454.51,272.71,0.14
209,Clothing Product 209,Clothing,Clothing - Premium,Brand B,Supplier Y,287.35,172.41,3.73
210,Sports Product 210,Sports,Sports - Budget,Brand C,Supplier Y,149.44,89.66,0.44
211,Sports Product 211,Sports,Sports - Budget,Brand D,Supplier Z,310.39,186.23,0.96
212,Beauty Product 212,Beauty,Beauty - Standard,Brand A,Supplier X,112.6,67.56,2.52
213,Books Product 213,Books,Books - Premium,Brand A,Supplier X,83.74,50.24,0.23
214,Home & Garden Product 214,Home & Garden,Home & Garden - Budget,Brand B,Supplier Z,506.82,304.09,0.51
215,Sports Product 215,Sports,Sports - Standard,Brand C,Supplier Z,43.73,26.24,0.27
216,Electronics Product 216,Electronics,Electronics - Budget,Brand A,Supplier Z,1134.31,680.59,1.96
217,Food Product 217,Food,Food - Standard,Brand B,Supplier X,48.79,29.27,0.67
218,Clothing Product 218,Clothing,Clothing - Budget,Brand A,Supplier Z,209.31,125.59,0.85
219,Sports Product 219,Sports,Sports - Standard,Brand B,Supplier X,116.29,69.77,2.27
220,Home & Garden Product 220,Home & Garden,Home & Garden - Standard,Brand D,Supplier Y,209.8,125.88,0.36
221,Books Product 221,Books,Books - Budget,Brand A,Supplier Y,97.64,58.58,0.52
222,Sports Product 222,Sports,Sports - Budget,Brand A,Supplier Z,353.12,211.87,0.66
223,Beauty Product 223,Beauty,Beauty - Standard,Brand A,Supplier X,79.73,47.84,1.27
224,Sports Product 224,Sports,Sports - Premium,Brand B,Supplier Y,396.32,237.79,4.77
225,Books Product 225,Books,Books - Standard,Brand A,Supplier Y,63.32,37.99,0.48
226,Beauty Product 226,Beauty,Beauty - Standard,Brand A,Supplier Z,194.79,116.87,2.53
227,Toys Product 227,Toys,Toys - Premium,Brand C,Supplier Z,153.96,92.38,4.31
228,Beauty Product 228,Beauty,Beauty - Premium,Brand D,Supplier Z,46.49,27.89,1.12
229,Food Product 229,Food,Food - Premium,Brand D,Supplier Z,8.78,5.27,2.57
230,Clothing Product 230,Clothing,Clothing - Budget,Brand A,Supplier Y,45.99,27.59,3.88
231,Beauty Product 231,Beauty,Beauty - Premium,Brand B,Supplier Z,244.37,146.62,3.1
232,Sports Product 232,Sports,Sports - Standard,Brand D,Supplier X,53.7,32.22,0.17
233,Books Product 233,Books,Books - Budget,Brand D,Supplier Y,46.23,27.74,3.46
234,Sports Product 234,Sports,Sports - Premium,Brand B,Supplier X,434.12,260.47,3.48
235,Electronics Product 235,Electronics,Electronics - Premium,Brand C,Supplier Z,107.09,64.25,4.11
236,Electronics Product 236,Electronics,Electronics - Premium,Brand C,Supplier Z,1181.0,708.6,0.34
237,Food Product 237,Food,Food - Premium,Brand B,Supplier Y,33.7,20.22,1.16
238,Electronics Product 238,Electronics,Electronics - Standard,Brand C,Supplier Z,1608.21,964.93,3.91
239,Books Product 239,Books,Books - Budget,Brand B,Supplier Z,35.68,21.41,4.39
240,Home & Garden Product 240,Home & Garden,Home & Garden - Standard,Brand A,Supplier Z,217.42,130.45,2.52
241,Home & Garden Product 241,Home & Garden,Home & Garden - Standard,Brand B,Supplier Z,433.94,260.36,1.93
242,Toys Product 242,Toys,Toys - Standard,Brand C,Supplier X,152.4,91.44,1.14
243,Clothing Product 243,Clothing,Clothing - Standard,Brand A,Supplier X,270.37,162.22,4.6
244,Home & Garden Product 244,Home & Garden,Home & Garden - Premium,Brand D,Supplier Y,629.28,377.57,2.76
245,Sports Product 245,Sports,Sports - Standard,Brand B,Supplier Y,285.21,171.13,4.4
246,Sports Product 246,Sports,Sports - Premium,Brand A,Supplier X,94.05,56.43,1.36
247,Sports Product 247,Sports,Sports - Standard,Brand C,Supplier Z,220.32,132.19,1.62
248,Food Product 248,Food,Food - Standard,Brand D,Supplier Z,135.29,81.17,2.45
249,Books Product 249,Books,Books - Premium,Brand D,Supplier X,18.84,11.3,0.74
250,Food Product 250,Food,Food - Standard,Brand C,Supplier Y,38.06,22.84,4.46
251,Beauty Product 251,Beauty,Beauty - Premium,Brand A,Supplier Y,125.39,75.23,1.86
252,Books Product 252,Books,Books - Premium,Brand A,Supplier Z,10.44,6.26,3.9
253,Books Product 253,Books,Books - Standard,Brand D,Supplier X,81.93,49.16,2.77
254,Books Product 254,Books,Books - Budget,Brand D,Supplier X,74.02,44.41,0.46
255,Food Product 255,Food,Food - Standard,Brand D,Supplier X,22.15,13.29,4.31
256,Food Product 256,Food,Food - Budget,Brand B,Supplier Y,16.04,9.62,3.77
257,Electronics Product 257,Electronics,Electronics - Standard,Brand C,Supplier Z,1576.25,945.75,3.19
258,Food Product 258,Food,Food - Standard,Brand B,Supplier Z,145.85,87.51,2.05
259,Sports Product 259,Sports,Sports - Standard,Brand B,Supplier Y,205.39,123.23,2.32
260,Books Product 260,Books,Books - Premium,Brand C,Supplier Z,82.63,49.58,1.44
261,Toys Product 261,Toys,Toys - Standard,Brand C,Supplier Z,66.95,40.17,2.11
262,Food Product 262,Food,Food - Premium,Brand A,Supplier X,9.16,5.5,0.55
263,Food Product 263,Food,Food - Premium,Brand B,Supplier Y,98.31,58.99,3.9
264,Sports Product 264,Sports,Sports - Standard,Brand D,Supplier Y,485.12,291.07,3.47
265,Clothing Product 265,Clothing,Clothing - Budget,Brand D,Supplier Z,202.46,121.48,4.37
266,Sports Product 266,Sports,Sports - Budget,Brand B,Supplier Z,210.52,126.31,1.9
267,Electronics Product 267,Electronics,Electronics - Standard,Brand D,Supplier X,1887.49,1132.49,4.9
268,Sports Product 268,Sports,Sports - Budget,Brand A,Supplier Y,147.85,88.71,3.45
269,Toys Product 269,Toys,Toys - Premium,Brand A,Supplier X,21.13,12.68,2.12
270,Books Product 270,Books,Books - Premium,Brand B,Supplier Y,87.05,52.23,4.1
271,Books Product 271,Books,Books - Premium,Brand D,Supplier Y,60.58,36.35,0.27
272,Food Product 272,Food,Food - Standard,Brand C,Supplier Z,30.04,18.02,3.34
273,Toys Product 273,Toys,Toys - Premium,Brand C,Supplier X,177.11,106.27,3.01
274,Toys Product 274,Toys,Toys - Budget,Brand D,Supplier Y,62.19,37.31,2.92
275,Books Product 275,Books,Books - Premium,Brand D,Supplier Z,22.44,13.46,3.52
276,Toys Product 276,Toys,Toys - Premium,Brand D,Supplier Y,171.28,102.77,0.93
277,Electronics Product 277,Electronics,Electronics - Premium,Brand D,Supplier Z,1936.1,1161.66,4.46
278,Clothing Product 278,Clothing,Clothing - Standard,Brand B,Supplier Y,201.54,120.92,1.6
279,Books Product 279,Books,Books - Standard,Brand B,Supplier X,72.74,43.64,1.63
280,Clothing Product 280,Clothing,Clothing - Budget,Brand B,Supplier Z,248.51,149.11,1.22
281,Home & Garden Product 281,Home & Garden,Home & Garden - Budget,Brand D,Supplier Z,355.37,213.22,0.55
282,Electronics Product 282,Electronics,Electronics - Standard,Brand A,Supplier Y,153.39,92.03,2.83
283,Clothing Product 283,Clothing,Clothing - Budget,Brand C,Supplier Z,55.13,33.08,3.31
284,Beauty Product 284,Beauty,Beauty - Premium,Brand B,Supplier X,107.21,64.33,4.3
285,Books Product 285,Books,Books - Premium,Brand C,Supplier X,60.35,36.21,3.17
286,Sports Product 286,Sports,Sports - Standard,Brand B,Supplier Z,173.86,104.32,1.09
287,Sports Product 287,Sports,Sports - Budget,Brand D,Supplier Z,254.61,152.77,1.86
288,Food Product 288,Food,Food - Budget,Brand A,Supplier Z,100.47,60.28,1.12
289,Home & Garden Product 289,Home & Garden,Home & Garden - Standard,Brand D,Supplier Y,349.21,209.53,3.22
290,Beauty Product 290,Beauty,Beauty - Premium,Brand C,Supplier Z,33.01,19.81,2.85
291,Clothing Product 291,Clothing,Clothing - Standard,Brand A,Supplier Z,254.02,152.41,4.46
292,Books Product 292,Books,Books - Budget,Brand A,Supplier Y,16.57,9.94,3.67
293,Clothing Product 293,Clothing,Clothing - Standard,Brand A,Supplier X,52.48,31.49,1.57
294,Food Product 294,Food,Food - Standard,Brand A,Supplier X,42.38,25.43,5.0
295,Sports Product 295,Sports,Sports - Budget,Brand D,Supplier Y,53.67,32.2,4.02
296,Home & Garden Product 296,Home & Garden,Home & Garden - Standard,Brand D,Supplier X,593.22,355.93,4.8
